student_id,attendance_date,attendance_status
287,2024-09-16,Present
154,2024-09-16,Present
392,2024-09-16,Absent
118,2024-09-16,Present
341,2024-09-16,Present
209,2024-09-16,Present
375,2024-09-16,Absent
162,2024-09-16,Present
299,2024-09-16,Present
181,2024-09-16,Present
326,2024-09-16,Present
145,2024-09-16,Absent
388,2024-09-16,Present
214,2024-09-16,Present
359,2024-09-16,Absent
197,2024-09-16,Present
312,2024-09-16,Present
168,2024-09-16,Present
284,2024-09-16,Present
139,2024-09-16,Absent
367,2024-09-16,Present
223,2024-09-16,Present
395,2024-09-16,Absent
176,2024-09-16,Present
248,2024-09-16,Present
331,2024-09-16,Present
158,2024-09-16,Absent
279,2024-09-16,Present
354,2024-09-16,Present
191,2024-09-16,Present
318,2024-09-16,Present
266,2024-09-16,Absent
173,2024-09-16,Present
304,2024-09-16,Present
142,2024-09-16,Present
381,2024-09-16,Absent
257,2024-09-16,Present
364,2024-09-16,Present
189,2024-09-16,Present
347,2024-09-16,Present
287,2024-10-16,Absent
154,2024-10-16,Present
392,2024-10-16,Present
118,2024-10-16,Present
341,2024-10-16,Present
209,2024-10-16,Present
375,2024-10-16,Present
162,2024-10-16,Present
299,2024-10-16,Absent
181,2024-10-16,Present
326,2024-10-16,Present
145,2024-10-16,Present
388,2024-10-16,Present
214,2024-10-16,Present
359,2024-10-16,Absent
197,2024-10-16,Present
312,2024-10-16,Present
168,2024-10-16,Present
284,2024-10-16,Present
139,2024-10-16,Absent
367,2024-10-16,Present
223,2024-10-16,Present
395,2024-10-16,Absent
176,2024-10-16,Present
248,2024-10-16,Present
331,2024-10-16,Present
158,2024-10-16,Absent
279,2024-10-16,Present
354,2024-10-16,Present
191,2024-10-16,Present
318,2024-10-16,Present
266,2024-10-16,Absent
173,2024-10-16,Present
304,2024-10-16,Present
142,2024-10-16,Present
381,2024-10-16,Absent
257,2024-10-16,Present
364,2024-10-16,Present
189,2024-10-16,Present
347,2024-10-16,Present
287,2024-11-16,Present
154,2024-11-16,Present
392,2024-11-16,Absent
118,2024-11-16,Present
341,2024-11-16,Absent
209,2024-11-16,Present
375,2024-11-16,Absent
162,2024-11-16,Present
299,2024-11-16,Present
181,2024-11-16,Present
326,2024-11-16,Present
145,2024-11-16,Absent
388,2024-11-16,Present
214,2024-11-16,Present
359,2024-11-16,Absent
197,2024-11-16,Present
312,2024-11-16,Present
168,2024-11-16,Present
284,2024-11-16,Present
139,2024-11-16,Absent
367,2024-11-16,Present
223,2024-11-16,Present
395,2024-11-16,Absent
176,2024-11-16,Present
248,2024-11-16,Present
331,2024-11-16,Present
158,2024-11-16,Absent
279,2024-11-16,Present
354,2024-11-16,Present
191,2024-11-16,Present
318,2024-11-16,Present
266,2024-11-16,Absent
173,2024-11-16,Present
304,2024-11-16,Present
142,2024-11-16,Present
381,2024-11-16,Absent
257,2024-11-16,Present
364,2024-11-16,Present
189,2024-11-16,Present
347,2024-11-16,Present
